season,sport,sex,division,school,wins,losses,ties
fall,Football,M,Carey,Braintree,4,1,
fall,Football,M,Carey,Brookline,1,4,
fall,Football,M,Carey,Framingham,0,5,
fall,Football,M,Carey,Needham,4,1,
fall,Football,M,Carey,Newton North,4,1,
fall,Football,M,Carey,Weymouth,2,3,
fall,Football,M,Herget,Milton,3,1,
fall,Football,M,Herget,Natick,4,0,
fall,Football,M,Herget,Norwood,0,4,
fall,Football,M,Herget,Walpole,2,2,
fall,Football,M,Herget,Wellesley,1,3,
fall,Field Hockey,F,Carey,Braintree,6,5,4
fall,Field Hockey,F,Carey,Brookline,1,13,1
fall,Field Hockey,F,Carey,Framingham,7,6,2
fall,Field Hockey,F,Carey,Needham,13,2,
fall,Field Hockey,F,Carey,Newton North,2,12,1
fall,Field Hockey,F,Carey,Weymouth,2,10,3
fall,Field Hockey,F,Herget,Milton,3,9,2
fall,Field Hockey,F,Herget,Natick,8,6,
fall,Field Hockey,F,Herget,Norwood,7,6,1
fall,Field Hockey,F,Herget,Walpole,12,0,2
fall,Field Hockey,F,Herget,Wellesley,10,2,2
fall,Soccer,M,Carey,Braintree,7,6,2
fall,Soccer,M,Carey,Brookline,6,4,5
fall,Soccer,M,Carey,Framingham,6,5,4
fall,Soccer,M,Carey,Needham,7,4,4
fall,Soccer,M,Carey,Newton North,5,6,4
fall,Soccer,M,Carey,Weymouth,6,6,3
fall,Soccer,M,Herget,Milton,1,12,
fall,Soccer,M,Herget,Natick,8,5,
fall,Soccer,M,Herget,Norwood,0,9,1
fall,Soccer,M,Herget,Walpole,7,4,2
fall,Soccer,M,Herget,Wellesley,10,2,1
fall,Soccer,F,Carey,Braintree,5,5,5
fall,Soccer,F,Carey,Brookline,11,1,3
fall,Soccer,F,Carey,Framingham,2,11,2
fall,Soccer,F,Carey,Needham,7,7,1
fall,Soccer,F,Carey,Newton North,6,9,
fall,Soccer,F,Carey,Weymouth,8,3,4
fall,Soccer,F,Herget,Milton,3,9,1
fall,Soccer,F,Herget,Natick,13,0,
fall,Soccer,F,Herget,Norwood,0,10,
fall,Soccer,F,Herget,Walpole,5,5,3
fall,Soccer,F,Herget,Wellesley,5,5,3
fall,Cross Country,M,Carey,Braintree,1,9,
fall,Cross Country,M,Carey,Brookline,8,2,
fall,Cross Country,M,Carey,Framingham,2,8,
fall,Cross Country,M,Carey,Needham,7,3,
fall,Cross Country,M,Carey,Newton North,9,1,
fall,Cross Country,M,Carey,Weymouth,5,5,
fall,Cross Country,M,Herget,Milton,3,7,
fall,Cross Country,M,Herget,Natick,5,5,
fall,Cross Country,M,Herget,Norwood,0,10,
fall,Cross Country,M,Herget,Walpole,5,5,
fall,Cross Country,M,Herget,Wellesley,10,0,
fall,Cross Country,F,Carey,Braintree,2,8,
fall,Cross Country,F,Carey,Brookline,5,5,
fall,Cross Country,F,Carey,Framingham,1,9,
fall,Cross Country,F,Carey,Needham,7,3,
fall,Cross Country,F,Carey,Newton North,6,4,
fall,Cross Country,F,Carey,Weymouth,3,7,
fall,Cross Country,F,Herget,Milton,10,0,
fall,Cross Country,F,Herget,Natick,7,3,
fall,Cross Country,F,Herget,Norwood,1,9,
fall,Cross Country,F,Herget,Walpole,4,6,
fall,Cross Country,F,Herget,Wellesley,9,1,
fall,Golf,M,Carey,Braintree,7,2,1
fall,Golf,M,Carey,Brookline,5,4,1
fall,Golf,M,Carey,Framingham,4,6,
fall,Golf,M,Carey,Needham,2,8,
fall,Golf,M,Carey,Newton North,5,5,
fall,Golf,M,Carey,Weymouth,0,10,
fall,Golf,M,Herget,Milton,5,4,1
fall,Golf,M,Herget,Natick,5,4,1
fall,Golf,M,Herget,Norwood,6,4,
fall,Golf,M,Herget,Walpole,4,6,
fall,Golf,M,Herget,Wellesley,10,0,
fall,Swimming & Diving,F,Carey,Braintree,4,6,
fall,Swimming & Diving,F,Carey,Brookline,8,2,
fall,Swimming & Diving,F,Carey,Framingham,6,4,
fall,Swimming & Diving,F,Carey,Needham,5,5,
fall,Swimming & Diving,F,Carey,Newton North,9,1,
fall,Swimming & Diving,F,Carey,Weymouth,0,10,
fall,Swimming & Diving,F,Herget,Milton,2,8,
fall,Swimming & Diving,F,Herget,Natick,7,3,
fall,Swimming & Diving,F,Herget,Norwood,1,9,
fall,Swimming & Diving,F,Herget,Walpole,3,7,
fall,Swimming & Diving,F,Herget,Wellesley,10,0,
fall,Volleyball,F,Carey,Braintree,2,13,
fall,Volleyball,F,Carey,Brookline,13,2,
fall,Volleyball,F,Carey,Framingham,1,14,
fall,Volleyball,F,Carey,Needham,8,7,
fall,Volleyball,F,Carey,Newton North,15,0,
fall,Volleyball,F,Carey,Weymouth,3,12,
fall,Volleyball,F,Herget,Milton,6,8,
fall,Volleyball,F,Herget,Natick,9,5,
fall,Volleyball,F,Herget,Norwood,3,11,
fall,Volleyball,F,Herget,Walpole,11,3,
fall,Volleyball,F,Herget,Wellesley,9,5,
winter,Basketball,M,Carey,Braintree,6,4,
winter,Basketball,M,Carey,Brookline,7,3,
winter,Basketball,M,Carey,Framingham,2,8,
winter,Basketball,M,Carey,Needham,10,0,
winter,Basketball,M,Carey,Newton North,8,2,
winter,Basketball,M,Carey,Weymouth,3,7,
winter,Basketball,M,Herget,Milton,4,6,
winter,Basketball,M,Herget,Natick,8,2,
winter,Basketball,M,Herget,Norwood,1,9,
winter,Basketball,M,Herget,Walpole,2,8,
winter,Basketball,M,Herget,Wellesley,4,6,
winter,Basketball,F,Carey,Braintree,10,0,
winter,Basketball,F,Carey,Brookline,1,9,
winter,Basketball,F,Carey,Framingham,0,10,
winter,Basketball,F,Carey,Needham,5,5,
winter,Basketball,F,Carey,Newton North,6,4,
winter,Basketball,F,Carey,Weymouth,2,8,
winter,Basketball,F,Herget,Milton,4,6,
winter,Basketball,F,Herget,Natick,9,1,
winter,Basketball,F,Herget,Norwood,3,7,
winter,Basketball,F,Herget,Walpole,7,3,
winter,Basketball,F,Herget,Wellesley,8,2,
winter,Ice Hockey,M,Carey,Braintree,5,3,2
winter,Ice Hockey,M,Carey,Brookline,0,10,
winter,Ice Hockey,M,Carey,Framingham,5,1,4
winter,Ice Hockey,M,Carey,Needham,5,3,2
winter,Ice Hockey,M,Carey,Newton North,3,5,2
winter,Ice Hockey,M,Carey,Weymouth,3,5,2
winter,Ice Hockey,M,Herget,Milton,3,4,3
winter,Ice Hockey,M,Herget,Natick,7,2,1
winter,Ice Hockey,M,Herget,Norwood,1,6,3
winter,Ice Hockey,M,Herget,Walpole,4,3,3
winter,Ice Hockey,M,Herget,Wellesley,7,1,2
winter,Ice Hockey,F,Carey,Braintree,7,3,
winter,Ice Hockey,F,Carey,Brookline,1,9,
winter,Ice Hockey,F,Carey,Framingham,2,8,
winter,Ice Hockey,F,Carey,Needham,7,1,2
winter,Ice Hockey,F,Carey,Newton North,0,10,
winter,Ice Hockey,F,Carey,Weymouth,3,7,
winter,Ice Hockey,F,Herget,Milton,6,3,1
winter,Ice Hockey,F,Herget,Natick,8,1,1
winter,Ice Hockey,F,Herget,Norwood,4,6,
winter,Ice Hockey,F,Herget,Walpole,5,4,1
winter,Ice Hockey,F,Herget,Wellesley,9,0,1
winter,Indoor Track & Field,M,Carey,Braintree,0,5,
winter,Indoor Track & Field,M,Carey,Brookline,2,3,
winter,Indoor Track & Field,M,Carey,Framingham,1,4,
winter,Indoor Track & Field,M,Carey,Needham,4,1,
winter,Indoor Track & Field,M,Carey,Newton North,5,0,
winter,Indoor Track & Field,M,Carey,Weymouth,3,2,
winter,Indoor Track & Field,M,Herget,Milton,0,4,
winter,Indoor Track & Field,M,Herget,Natick,4,0,
winter,Indoor Track & Field,M,Herget,Norwood,2,2,
winter,Indoor Track & Field,M,Herget,Walpole,1,3,
winter,Indoor Track & Field,M,Herget,Wellesley,3,1,
winter,Indoor Track & Field,F,Carey,Braintree,2,3,
winter,Indoor Track & Field,F,Carey,Brookline,4,1,
winter,Indoor Track & Field,F,Carey,Framingham,0,5,
winter,Indoor Track & Field,F,Carey,Needham,3,2,
winter,Indoor Track & Field,F,Carey,Newton North,5,0,
winter,Indoor Track & Field,F,Carey,Weymouth,1,4,
winter,Indoor Track & Field,F,Herget,Milton,3,1,
winter,Indoor Track & Field,F,Herget,Natick,2,2,
winter,Indoor Track & Field,F,Herget,Norwood,0,4,
winter,Indoor Track & Field,F,Herget,Walpole,1,3,
winter,Indoor Track & Field,F,Herget,Wellesley,4,0,
winter,Swimming & Diving,M,Carey,Brookline,2,3,
winter,Swimming & Diving,M,Carey,Framingham,3,2,
winter,Swimming & Diving,M,Carey,Needham,4,1,
winter,Swimming & Diving,M,Carey,Newton North,0,5,
winter,Swimming & Diving,M,Herget,Natick,5,0,
winter,Swimming & Diving,M,Herget,Wellesley,1,4,
winter,Gymnastics,F,Carey,Braintree,3,6,
winter,Gymnastics,F,Carey,Brookline,1,8,
winter,Gymnastics,F,Carey,Framingham,8,1,
winter,Gymnastics,F,Carey,Needham,7,2,
winter,Gymnastics,F,Carey,Newton North,9,0,
winter,Gymnastics,F,Carey,Weymouth,3,6,
winter,Gymnastics,F,Herget,Natick,4,5,
winter,Gymnastics,F,Herget,Norwood,5,4,
winter,Gymnastics,F,Herget,Walpole,0,9,
winter,Gymnastics,F,Herget,Wellesley,5,4,
winter,Wrestling,M,Carey,Braintree,6,4,
winter,Wrestling,M,Carey,Brookline,6,4,
winter,Wrestling,M,Carey,Framingham,9,1,
winter,Wrestling,M,Carey,Needham,2,8,
winter,Wrestling,M,Carey,Newton North,7,3,
winter,Wrestling,M,Carey,Weymouth,6,3,1
winter,Wrestling,M,Herget,Milton,2,8,
winter,Wrestling,M,Herget,Natick,7,2,1
winter,Wrestling,M,Herget,Norwood,0,10,
winter,Wrestling,M,Herget,Walpole,8,2,
winter,Wrestling,M,Herget,Wellesley,1,9,
spring,Baseball,M,Carey,Braintree,5,5,
spring,Baseball,M,Carey,Brookline,7,3,
spring,Baseball,M,Carey,Framingham,2,8,
spring,Baseball,M,Carey,Needham,3,7,
spring,Baseball,M,Carey,Newton North,5,5,
spring,Baseball,M,Carey,Weymouth,4,6,
spring,Baseball,M,Herget,Milton,3,7,
spring,Baseball,M,Herget,Natick,4,6,
spring,Baseball,M,Herget,Norwood,5,5,
spring,Baseball,M,Herget,Walpole,9,1,
spring,Baseball,M,Herget,Wellesley,8,2,
spring,Softball,F,Carey,Braintree,8,2,
spring,Softball,F,Carey,Brookline,3,7,
spring,Softball,F,Carey,Framingham,1,9,
spring,Softball,F,Carey,Needham,2,8,
spring,Softball,F,Carey,Newton North,8,2,
spring,Softball,F,Carey,Weymouth,0,10,
spring,Softball,F,Herget,Milton,6,4,
spring,Softball,F,Herget,Natick,7,3,
spring,Softball,F,Herget,Norwood,6,4,
spring,Softball,F,Herget,Walpole,10,0,
spring,Softball,F,Herget,Wellesley,4,6,
spring,Lacrosse,M,Carey,Braintree,5,5,
spring,Lacrosse,M,Carey,Brookline,2,8,
spring,Lacrosse,M,Carey,Framingham,3,7,
spring,Lacrosse,M,Carey,Needham,9,1,
spring,Lacrosse,M,Carey,Newton North,8,2,
spring,Lacrosse,M,Carey,Weymouth,5,5,
spring,Lacrosse,M,Herget,Milton,1,9,
spring,Lacrosse,M,Herget,Natick,6,4,
spring,Lacrosse,M,Herget,Norwood,0,10,
spring,Lacrosse,M,Herget,Walpole,9,1,
spring,Lacrosse,M,Herget,Wellesley,7,3,
spring,Lacrosse,F,Carey,Braintree,6,4,
spring,Lacrosse,F,Carey,Brookline,2,8,
spring,Lacrosse,F,Carey,Framingham,4,6,
spring,Lacrosse,F,Carey,Needham,9,1,
spring,Lacrosse,F,Carey,Newton North,3,7,
spring,Lacrosse,F,Carey,Weymouth,0,10,
spring,Lacrosse,F,Herget,Milton,5,5,
spring,Lacrosse,F,Herget,Natick,7,3,
spring,Lacrosse,F,Herget,Norwood,1,9,
spring,Lacrosse,F,Herget,Walpole,10,0,
spring,Lacrosse,F,Herget,Wellesley,8,2,
spring,Tennis,M,Carey,Braintree,1,9,
spring,Tennis,M,Carey,Brookline,10,0,
spring,Tennis,M,Carey,Framingham,5,5,
spring,Tennis,M,Carey,Needham,7,3,
spring,Tennis,M,Carey,Newton North,9,1,
spring,Tennis,M,Carey,Weymouth,2,8,
spring,Tennis,M,Herget,Milton,2,8,
spring,Tennis,M,Herget,Natick,5,5,
spring,Tennis,M,Herget,Norwood,1,9,
spring,Tennis,M,Herget,Walpole,5,5,
spring,Tennis,M,Herget,Wellesley,8,2,
spring,Tennis,F,Carey,Braintree,4,6,
spring,Tennis,F,Carey,Brookline,9,1,
spring,Tennis,F,Carey,Framingham,2,8,
spring,Tennis,F,Carey,Needham,6,4,
spring,Tennis,F,Carey,Newton North,8,2,
spring,Tennis,F,Carey,Weymouth,7,3,
spring,Tennis,F,Herget,Milton,2,8,
spring,Tennis,F,Herget,Natick,5,5,
spring,Tennis,F,Herget,Norwood,0,10,
spring,Tennis,F,Herget,Walpole,2,8,
spring,Tennis,F,Herget,Wellesley,10,0,
spring,Outdoor Track & Field,M,Carey,Braintree,1,4,
spring,Outdoor Track & Field,M,Carey,Brookline,2,3,
spring,Outdoor Track & Field,M,Carey,Framingham,0,5,
spring,Outdoor Track & Field,M,Carey,Needham,4,1,
spring,Outdoor Track & Field,M,Carey,Newton North,5,0,
spring,Outdoor Track & Field,M,Carey,Weymouth,3,2,
spring,Outdoor Track & Field,M,Herget,Milton,0,4,
spring,Outdoor Track & Field,M,Herget,Natick,4,0,
spring,Outdoor Track & Field,M,Herget,Norwood,1,3,
spring,Outdoor Track & Field,M,Herget,Walpole,2,2,
spring,Outdoor Track & Field,M,Herget,Wellesley,3,1,
spring,Outdoor Track & Field,F,Carey,Braintree,1,4,
spring,Outdoor Track & Field,F,Carey,Brookline,4,1,
spring,Outdoor Track & Field,F,Carey,Framingham,0,5,
spring,Outdoor Track & Field,F,Carey,Needham,3,2,
spring,Outdoor Track & Field,F,Carey,Newton North,5,0,
spring,Outdoor Track & Field,F,Carey,Weymouth,2,3,
spring,Outdoor Track & Field,F,Herget,Milton,2,2,
spring,Outdoor Track & Field,F,Herget,Natick,3,1,
spring,Outdoor Track & Field,F,Herget,Norwood,0,4,
spring,Outdoor Track & Field,F,Herget,Walpole,1,3,
spring,Outdoor Track & Field,F,Herget,Wellesley,4,0,
spring,Volleyball,M,Carey,Braintree,8,8,
spring,Volleyball,M,Carey,Brookline,8,8,
spring,Volleyball,M,Carey,Framingham,7,9,
spring,Volleyball,M,Carey,Needham,15,1,
spring,Volleyball,M,Carey,Newton North,12,4,
spring,Volleyball,M,Carey,Weymouth,1,15,
spring,Volleyball,M,Herget,Natick,15,1,
spring,Volleyball,M,Herget,Norwood,5,11,
spring,Volleyball,M,Herget,Wellesley,1,15,
