event,date,name,result,note
100 Meter Dash,2005,Violet King,12.37
200 Meter Dash,1970,Kathy Guiney,24.5
400 Meter Run,1979,Claire Connelly,57.8
800 Meter Run,2016,Margaret Cullen,2:11.36
1 Mile Run,2016,Margaret Cullen,4:53.36
2 Mile Run,2016,Margaret Cullen,10:27.59
100 / 110 Meter Hurdles,2013,Robin Kelly,15.09
400 Meter Hurdles,2023,Alexandra Bold,64.31
High Jump,1999,Sarah Daoust,5&apos; 6&quot;
Long Jump,2023,Marisa Malo,18&apos; 0.5&quot;
Triple Jump,1989,Elena Zhelezov,40&apos; 8.5&quot;
Shot Put,1999,Vilavone Simmai,35&apos; 11&quot;
Discus,1974,Nancy O'Neal,123&apos;
Javelin,1985,Arianne May,119&apos;
Heptathlon / Decathlon,2022,Alexandra Bold,3415
4 x 100 Meter Relay,1999,Liz Moderi;Kim Kelly;Jaclyn Raffol;Catherine Denver,49.27
4 x 400 Meter Relay,2023,Carolina Sanz;Marisa Malo;Audrey Adam;Alexandra Bold,4:01.21
4 x 800 Meter Relay,2014,Margaret Cullen;Samantha Lerner;Sarah Armstrong;Kaleigh Hughes,9:17.58
4 x 1600 Meter Relay,2014,Kaleigh Hughes;Margaret Cullen;Samantha Lerner;Sarah Armstrong,20:50.09
Sprint Medley,2016,Margaret Cullen;Haley Cole;Dee Picou;Sarah Armstrong,4:11.27
Distance Medley,2015,Kaleigh Hughes;Olivia Corkery;Sarah Armstrong;Margaret Cullen,11:51.09,National Champions
